year,month,mean_celsius,global_month_avg,total_disasters,total_damages,total_deaths
2020,2,15.3416007036061,13.0912010003998,1,0,0
2020,3,15.4266464646465,14.5910744656313,0,0,0
2020,4,17.7460759493671,16.1153823418336,0,0,0
2020,5,19.2953191489362,18.0436867225222,1,0,0
2020,6,19.67815219817,20.1420647693337,1,0,0
2020,7,21.3758913043479,21.1403370678311,1,0,1924
2020,8,21.9170208333333,21.172382001587,0,0,0
2020,9,20.2505573080968,19.5120029076732,1,108490,2
2020,10,17.1857534246575,17.6402288796734,1,1979428,18
2020,11,15.9541313559322,14.8497615412401,0,0,0
2020,12,14.0631712473573,13.1162410751787,0,0,0
2021,1,12.7010401497816,12.669920706176,0,0,0
2021,2,14.8613137032843,13.0912010003998,1,20000,0
2021,3,15.1184928716904,14.5910744656313,0,0,0
2021,4,15.8366170212765,16.1153823418336,1,11200000,0
2021,5,17.4380095178977,18.0436867225222,0,0,0
2021,6,20.7688931706273,20.1420647693337,1,0,1
2021,7,21.1293832877289,21.1403370678311,2,0,0
2021,8,20.6803510273972,21.172382001587,0,0,0
2021,9,20.4170615083677,19.5120029076732,1,0,0
2021,10,17.627495908347,17.6402288796734,1,0,0
2021,11,13.5148886283705,14.8497615412401,1,0,1
2021,12,13.5723162583519,13.1162410751787,1,46000,0
2022,1,12.4314169694379,12.669920706176,0,0,0
2022,2,14.2765872079301,13.0912010003998,1,0,0
2022,3,15.4136723634848,14.5910744656313,0,0,0
2022,4,16.4606823027718,16.1153823418336,0,0,0
2022,5,19.7620885818773,18.0436867225222,0,0,0
2022,6,21.2400210304942,20.1420647693337,1,0,1
2022,7,22.5854089601317,21.1403370678311,1,0,0
2022,8,22.8171333054742,21.172382001587,1,0,5
2022,9,20.0446599872096,19.5120029076732,0,0,0
2022,10,19.552863617635,17.6402288796734,1,0,0
2022,11,16.2346623794213,14.8497615412401,0,0,0
